"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"Persons with a disability to a great extent","2022","Both sexes","81 years","Number","5396"
"Persons with a disability to a great extent","2022","Both sexes","82 years","Number","5536"
"Persons with a disability to a great extent","2022","Both sexes","83 years","Number","5481"
"Persons with a disability to a great extent","2022","Both sexes","84 years","Number","5288"
"Persons with a disability to a great extent","2022","Both sexes","85 years","Number","5224"
"Persons with a disability to a great extent","2022","Both sexes","86 years","Number","5190"
"Persons with a disability to a great extent","2022","Both sexes","87 years","Number","4917"
"Persons with a disability to a great extent","2022","Both sexes","88 years","Number","4516"
"Persons with a disability to a great extent","2022","Both sexes","89 years","Number","3966"
"Persons with a disability to a great extent","2022","Both sexes","90 years","Number","3552"
"Persons with a disability to a great extent","2022","Both sexes","91 years","Number","3230"
"Persons with a disability to a great extent","2022","Both sexes","92 years","Number","2395"
"Persons with a disability to a great extent","2022","Both sexes","93 years","Number","2047"
"Persons with a disability to a great extent","2022","Both sexes","94 years","Number","1599"
"Persons with a disability to a great extent","2022","Both sexes","95 years","Number","1218"
"Persons with a disability to a great extent","2022","Both sexes","96 years","Number","871"
"Persons with a disability to a great extent","2022","Both sexes","97 years","Number","652"
"Persons with a disability to a great extent","2022","Both sexes","98 years","Number","454"
"Persons with a disability to a great extent","2022","Both sexes","99 years","Number","316"
"Persons with a disability to a great extent","2022","Both sexes","100 years and over","Number","526"
"Persons with a disability to a great extent","2022","Male","Under 1 year","Number","364"
"Persons with a disability to a great extent","2022","Male","1 year","Number","412"
"Persons with a disability to a great extent","2022","Male","2 years","Number","676"
"Persons with a disability to a great extent","2022","Male","3 years","Number","1036"
"Persons with a disability to a great extent","2022","Male","4 years","Number","1256"
"Persons with a disability to a great extent","2022","Male","5 years","Number","1378"
"Persons with a disability to a great extent","2022","Male","6 years","Number","1653"
"Persons with a disability to a great extent","2022","Male","7 years","Number","1707"
"Persons with a disability to a great extent","2022","Male","8 years","Number","1900"
"Persons with a disability to a great extent","2022","Male","9 years","Number","1953"
"Persons with a disability to a great extent","2022","Male","10 years","Number","2024"
"Persons with a disability to a great extent","2022","Male","11 years","Number","2043"
"Persons with a disability to a great extent","2022","Male","12 years","Number","2086"
"Persons with a disability to a great extent","2022","Male","13 years","Number","2157"
"Persons with a disability to a great extent","2022","Male","14 years","Number","2028"
"Persons with a disability to a great extent","2022","Male","15 years","Number","1926"
"Persons with a disability to a great extent","2022","Male","16 years","Number","1845"
"Persons with a disability to a great extent","2022","Male","17 years","Number","1868"
"Persons with a disability to a great extent","2022","Male","18 years","Number","1925"
"Persons with a disability to a great extent","2022","Male","19 years","Number","1885"
"Persons with a disability to a great extent","2022","Male","20 years","Number","1823"
"Persons with a disability to a great extent","2022","Male","21 years","Number","1627"
"Persons with a disability to a great extent","2022","Male","22 years","Number","1663"
"Persons with a disability to a great extent","2022","Male","23 years","Number","1653"
"Persons with a disability to a great extent","2022","Male","24 years","Number","1532"
"Persons with a disability to a great extent","2022","Male","25 years","Number","1526"
"Persons with a disability to a great extent","2022","Male","26 years","Number","1497"
"Persons with a disability to a great extent","2022","Male","27 years","Number","1424"
"Persons with a disability to a great extent","2022","Male","28 years","Number","1410"
"Persons with a disability to a great extent","2022","Male","29 years","Number","1412"
"Persons with a disability to a great extent","2022","Male","30 years","Number","1422"
"Persons with a disability to a great extent","2022","Male","31 years","Number","1398"
"Persons with a disability to a great extent","2022","Male","32 years","Number","1356"
"Persons with a disability to a great extent","2022","Male","33 years","Number","1277"
"Persons with a disability to a great extent","2022","Male","34 years","Number","1391"
"Persons with a disability to a great extent","2022","Male","35 years","Number","1492"
"Persons with a disability to a great extent","2022","Male","36 years","Number","1493"
"Persons with a disability to a great extent","2022","Male","37 years","Number","1568"
"Persons with a disability to a great extent","2022","Male","38 years","Number","1646"
"Persons with a disability to a great extent","2022","Male","39 years","Number","1737"
"Persons with a disability to a great extent","2022","Male","40 years","Number","1812"
"Persons with a disability to a great extent","2022","Male","41 years","Number","1877"
"Persons with a disability to a great extent","2022","Male","42 years","Number","1985"
"Persons with a disability to a great extent","2022","Male","43 years","Number","1920"
"Persons with a disability to a great extent","2022","Male","44 years","Number","2041"
"Persons with a disability to a great extent","2022","Male","45 years","Number","2027"
"Persons with a disability to a great extent","2022","Male","46 years","Number","2069"
"Persons with a disability to a great extent","2022","Male","47 years","Number","2215"
"Persons with a disability to a great extent","2022","Male","48 years","Number","2252"
"Persons with a disability to a great extent","2022","Male","49 years","Number","2422"
"Persons with a disability to a great extent","2022","Male","50 years","Number","2477"
"Persons with a disability to a great extent","2022","Male","51 years","Number","2471"
"Persons with a disability to a great extent","2022","Male","52 years","Number","2524"
"Persons with a disability to a great extent","2022","Male","53 years","Number","2593"
"Persons with a disability to a great extent","2022","Male","54 years","Number","2676"
"Persons with a disability to a great extent","2022","Male","55 years","Number","2740"
"Persons with a disability to a great extent","2022","Male","56 years","Number","2842"
"Persons with a disability to a great extent","2022","Male","57 years","Number","2944"
"Persons with a disability to a great extent","2022","Male","58 years","Number","3132"
"Persons with a disability to a great extent","2022","Male","59 years","Number","3210"
"Persons with a disability to a great extent","2022","Male","60 years","Number","3206"
"Persons with a disability to a great extent","2022","Male","61 years","Number","3233"
"Persons with a disability to a great extent","2022","Male","62 years","Number","3299"
"Persons with a disability to a great extent","2022","Male","63 years","Number","3374"
"Persons with a disability to a great extent","2022","Male","64 years","Number","3169"
"Persons with a disability to a great extent","2022","Male","65 years","Number","3258"
"Persons with a disability to a great extent","2022","Male","66 years","Number","2783"
"Persons with a disability to a great extent","2022","Male","67 years","Number","2775"
"Persons with a disability to a great extent","2022","Male","68 years","Number","2688"
"Persons with a disability to a great extent","2022","Male","69 years","Number","2850"
"Persons with a disability to a great extent","2022","Male","70 years","Number","2653"
"Persons with a disability to a great extent","2022","Male","71 years","Number","2565"
"Persons with a disability to a great extent","2022","Male","72 years","Number","2743"
"Persons with a disability to a great extent","2022","Male","73 years","Number","2486"
"Persons with a disability to a great extent","2022","Male","74 years","Number","2728"
"Persons with a disability to a great extent","2022","Male","75 years","Number","2683"
"Persons with a disability to a great extent","2022","Male","76 years","Number","2666"
"Persons with a disability to a great extent","2022","Male","77 years","Number","2559"
"Persons with a disability to a great extent","2022","Male","78 years","Number","2507"
"Persons with a disability to a great extent","2022","Male","79 years","Number","2418"
"Persons with a disability to a great extent","2022","Male","80 years","Number","2298"
"Persons with a disability to a great extent","2022","Male","81 years","Number","2292"
"Persons with a disability to a great extent","2022","Male","82 years","Number","2295"
"Persons with a disability to a great extent","2022","Male","83 years","Number","2140"
"Persons with a disability to a great extent","2022","Male","84 years","Number","2010"
"Persons with a disability to a great extent","2022","Male","85 years","Number","1961"
"Persons with a disability to a great extent","2022","Male","86 years","Number","1921"
"Persons with a disability to a great extent","2022","Male","87 years","Number","1736"
"Persons with a disability to a great extent","2022","Male","88 years","Number","1496"
"Persons with a disability to a great extent","2022","Male","89 years","Number","1323"
"Persons with a disability to a great extent","2022","Male","90 years","Number","1163"
"Persons with a disability to a great extent","2022","Male","91 years","Number","976"
"Persons with a disability to a great extent","2022","Male","92 years","Number","669"
"Persons with a disability to a great extent","2022","Male","93 years","Number","520"
"Persons with a disability to a great extent","2022","Male","94 years","Number","431"
"Persons with a disability to a great extent","2022","Male","95 years","Number","279"
"Persons with a disability to a great extent","2022","Male","96 years","Number","194"
"Persons with a disability to a great extent","2022","Male","97 years","Number","122"
"Persons with a disability to a great extent","2022","Male","98 years","Number","82"
"Persons with a disability to a great extent","2022","Male","99 years","Number","60"
"Persons with a disability to a great extent","2022","Male","100 years and over","Number","79"
"Persons with a disability to a great extent","2022","Female","Under 1 year","Number","317"
"Persons with a disability to a great extent","2022","Female","1 year","Number","336"
"Persons with a disability to a great extent","2022","Female","2 years","Number","454"
"Persons with a disability to a great extent","2022","Female","3 years","Number","582"
"Persons with a disability to a great extent","2022","Female","4 years","Number","665"
"Persons with a disability to a great extent","2022","Female","5 years","Number","720"
"Persons with a disability to a great extent","2022","Female","6 years","Number","813"
"Persons with a disability to a great extent","2022","Female","7 years","Number","887"
"Persons with a disability to a great extent","2022","Female","8 years","Number","946"
"Persons with a disability to a great extent","2022","Female","9 years","Number","1072"
"Persons with a disability to a great extent","2022","Female","10 years","Number","1107"
"Persons with a disability to a great extent","2022","Female","11 years","Number","1203"
"Persons with a disability to a great extent","2022","Female","12 years","Number","1264"
"Persons with a disability to a great extent","2022","Female","13 years","Number","1333"
"Persons with a disability to a great extent","2022","Female","14 years","Number","1474"
"Persons with a disability to a great extent","2022","Female","15 years","Number","1571"
"Persons with a disability to a great extent","2022","Female","16 years","Number","1646"
"Persons with a disability to a great extent","2022","Female","17 years","Number","1830"
"Persons with a disability to a great extent","2022","Female","18 years","Number","2026"
"Persons with a disability to a great extent","2022","Female","19 years","Number","2041"
"Persons with a disability to a great extent","2022","Female","20 years","Number","2070"
"Persons with a disability to a great extent","2022","Female","21 years","Number","1986"
"Persons with a disability to a great extent","2022","Female","22 years","Number","2022"
"Persons with a disability to a great extent","2022","Female","23 years","Number","1834"
"Persons with a disability to a great extent","2022","Female","24 years","Number","1829"
"Persons with a disability to a great extent","2022","Female","25 years","Number","1730"
"Persons with a disability to a great extent","2022","Female","26 years","Number","1662"
"Persons with a disability to a great extent","2022","Female","27 years","Number","1663"
"Persons with a disability to a great extent","2022","Female","28 years","Number","1579"
"Persons with a disability to a great extent","2022","Female","29 years","Number","1525"
"Persons with a disability to a great extent","2022","Female","30 years","Number","1585"
